Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Paranormal Activity 2,"Days after welcoming a newborn baby, Dan and Kristi Rey return home one day to find their house ransacked with seemingly no explanation. Their fear forces them to put in security cameras, which begin to capture strange activity around the house.",2010-10-20,5.751,2263,91,3000000,177512032,24.235,['United States of America'],"['Paramount', 'Blumhouse Productions', 'Solana Films']","['Horror', 'Mystery']"
Hot Tub Time Machine,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Craig is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.",2010-03-26,6.015,2262,101,36000000,64780213,20.435,['United States of America'],"['United Artists', 'New Crime Productions', 'Metro-Goldwyn-Mayer']","['Science Fiction', 'Comedy', 'Adventure']"
Gulliver's Travels,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",2010-12-23,5.199,2216,85,112000000,237382724,21.458,['United States of America'],"['Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III', '20th Century Fox']","['Family', 'Comedy', 'Adventure', 'Fantasy']"
It's Kind of a Funny Story,A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,2010-10-08,7.0,2206,102,8000000,6491240,16.559,['United States of America'],"['Focus Features', 'Wayfare Entertainment', 'Misher Films', 'Journeyman Pictures', 'Gowanus Projections', 'Start Media']","['Comedy', 'Drama']"
Legend of the Guardians: The Owls of Ga'Hoole,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",2010-07-10,6.802,2146,97,80000000,140073390,22.505,"['Australia', 'United States of America']","['Animal Logic', 'Village Roadshow Pictures', 'Warner Bros. Pictures']","['Animation', 'Adventure', 'Family', 'Fantasy']"
Burlesque,"Ali leaves behind a troubled life and follows her dreams to Los Angeles, where she lands a job as a cocktail waitress at the Burlesque Lounge, a once-majestic theater that houses an inspired musical revue. Vowing to perform there, she makes the leap from bar to stage, helping restore the club's former glory.",2010-11-23,7.188,2111,119,55000000,89519773,21.63,['United States of America'],"['Screen Gems', 'Bedford Falls Productions']","['Drama', 'Romance']"
Killers,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",2010-06-04,5.941,2064,100,75000000,98159963,21.501,['United States of America'],"['Katalyst Films', 'Lionsgate', 'Aversano Films']","['Action', 'Comedy', 'Thriller', 'Romance']"
I Spit on Your Grave,"Jennifer is a writer working on a new novel and, needing to get out of the city to finish it, hires a riverside apartment in upstate New York to finish her book—attracting the attention of a number of rowdy male locals.",2010-06-17,6.503,2058,108,2000000,572809,41.975,['United States of America'],"['Anchor Bay Films', 'CineTel Films']","['Thriller', 'Crime', 'Horror']"
Charlie St. Cloud,"Accomplished sailor Charlie St. Cloud has the adoration of his mother Claire and his little brother Sam, as well as a college scholarship that will lead him far from his sleepy Pacific Northwest hometown. But his bright future is cut short when a tragedy strikes and takes his dreams with it. After his high-school classmate Tess returns home unexpectedly, Charlie grows torn between honoring a promise he made four years earlier and moving forward with newfound love. And as he finds the courage to let go of the past for good, Charlie discovers the soul most worth saving is his own.",2010-07-30,6.932,2054,99,44000000,48190704,15.169,['United States of America'],"['Marc Platt Productions', 'Universal Pictures', 'Relativity Media']","['Drama', 'Romance']"
The Ghost Writer,A writer stumbles upon a long-hidden secret when he agrees to help former British Prime Minister Adam Lang complete his memoirs on a remote island after the politician's assistant drowns in a mysterious accident.,2010-02-12,6.826,2031,128,45000000,60331447,19.391,"['France', 'Germany', 'United Kingdom', 'United States of America']","['R.P. Productions', 'Studio Babelsberg', 'Runteam', 'France 2 Cinéma', 'Summit Entertainment', 'FFA', 'Medienboard Berlin-Brandenburg', 'FilmFörderung Hamburg', 'Mecklenburg Vorpommern', 'France Télévisions', 'Bogard', '321 Films', 'R.P. Films', 'Elfte Babelsberg Film GmbH', 'Runteam III Ltd.', 'Pathé', 'StudioCanal']","['Thriller', 'Mystery']"
Green Zone,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",2010-03-11,6.458,2021,115,100000000,94882889,19.007,"['France', 'Japan', 'Spain', 'United Kingdom', 'United States of America']","['Universal Pictures', 'StudioCanal', 'Relativity Media', 'Working Title Films', 'dentsu', 'Atresmedia', 'Kanzaman Productions']","['War', 'Action', 'Adventure', 'Drama', 'Thriller']"
Piranha 3D,"Each year the population of sleepy Lake Victoria, Arizona explodes from 5,000 to 50,000 residents for the annual Spring Break celebration. But then, an earthquake opens an underwater chasm, releasing an enormous swarm of ancient Piranha that have been dormant for thousands of years, now with a taste for human flesh. This year, there's something more to worry about than the usual hangovers and complaints from locals, a new type of terror is about to be cut loose on Lake Victoria.",2010-08-20,5.39,2007,88,24000000,83188165,38.852,['United States of America'],"['The Weinstein Company', 'Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Intellectual Properties Worldwide', 'Aja / Levasseur Productions']","['Comedy', 'Horror']"
She's Out of My League,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",2010-03-11,6.455,1944,104,20000000,49779728,24.013,['United States of America'],"['Mosaic', 'DreamWorks Pictures']","['Romance', 'Comedy']"
Leap Year,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",2010-01-08,6.887,1900,100,19000000,32686500,22.531,"['Ireland', 'United States of America']","['Birnbaum / Barber Productions', 'Universal Pictures', 'Spyglass Entertainment', 'Octagon Films', 'BenderSpink']","['Romance', 'Comedy']"
The Crazies,Four friends find themselves trapped in their small hometown after they discover their friends and neighbors going quickly and horrifically insane.,2010-02-26,6.244,1862,101,20000000,54956140,20.59,"['United Arab Emirates', 'United States of America']","['Penn Station Entertainment', 'Participant', 'Overture Films', 'Imagenation Abu Dhabi FZ', 'Paramount Vantage']","['Mystery', 'Horror', 'Action']"
Let Me In,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.  A remake of the movie “Let The Right One In” which was an adaptation of a book.,2010-10-01,6.776,1861,116,20000000,24145613,16.362,"['United Kingdom', 'United States of America']","['Hammer Film Productions', 'EFTI', 'Overture Films', 'Exclusive Media']","['Drama', 'Horror', 'Mystery']"
Tooth Fairy,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",2010-01-14,5.482,1850,101,48000000,112462508,23.012,"['Canada', 'United States of America']","['Dune Entertainment', 'Dune Entertainment III', 'Walden Media', 'Mayhem Pictures', '20th Century Fox', 'Blumhouse Productions']","['Comedy', 'Family', 'Fantasy']"
The Wolfman,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",2010-02-10,5.843,1839,102,150000000,0,24.397,['United States of America'],"['Universal Pictures', 'Relativity Media', 'Stuber Productions']","['Horror', 'History', 'Drama', 'Thriller']"
Step Up 3D,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.",2010-08-04,6.8,1802,107,30000000,159291809,23.932,['United States of America'],"['Touchstone Pictures', 'Summit Entertainment']","['Drama', 'Romance']"
Repo Men,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.",2010-03-18,6.312,1773,111,32000000,18409891,16.0,"['Canada', 'United States of America']","['Relativity Media', 'Stuber Productions', 'Universal Pictures', 'dentsu']","['Action', 'Science Fiction', 'Thriller', 'Crime']"
